Date,Author,Text
10/11/2021 10:23,rahmifitria,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 10:23,Klentingkuniing,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 10:22,mainterusss,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 10:22,bidadarikocakkk,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 10:21,Indrijulian_,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 10:21,MariaTrihartati,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 10:21,Rinira12,"Masih banyak sampah yang berserakan di pinggir jalan, sangat mengganggu."
10/11/2021 10:21,SopoJar6wo,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 10:21,elokwekey,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 10:20,rizkyadinduy,Masih perlu lebih banyak program lingkungan di berbagai wilayah.
10/11/2021 10:20,SopoJar6wo,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 10:20,ed_tirta,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 10:20,MariaTrihartati,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 10:19,pemburu__tikus,Kerjasama warga dalam membersihkan lingkungan semakin kuat.
10/11/2021 10:18,sotongcabeijo,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 10:18,FarahNathan24,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 10:17,1_shieldNKRI,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 10:17,kompascom,Kerjasama warga dalam membersihkan lingkungan semakin kuat.
10/11/2021 10:16,korbanpatriarki,Kerjasama warga dalam membersihkan lingkungan semakin kuat.
10/11/2021 10:16,Husaini_Yusuff,Perlu ada regulasi yang jelas untuk pengurangan sampah plastik.
10/11/2021 10:16,aneridwan,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 10:15,aniniyu,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 10:14,ardana333,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 10:14,myalfian88,Semoga pemerintah bisa lebih konsisten dalam mengelola sampah kota.
10/11/2021 10:12,DivaCatrii,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 10:12,vivivivere2,"Tempat sampah sudah mulai banyak, ini sangat memudahkan masyarakat."
10/11/2021 10:11,AkhidRahardja,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 10:11,PartaiSocmed,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 10:11,fokus_satu,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 10:10,Arafat58905957,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
10/11/2021 10:09,Nigellasativa5,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 10:09,arik_indrayana,Program edukasi tentang pengurangan sampah plastik sangat bermanfaat.
10/11/2021 10:07,greypunch,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 10:06,fokus_satu,Banyak tumpukan sampah yang tak diangkut berminggu-minggu.
10/11/2021 10:06,yuliuswiwin1,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 10:06,SHALATaddict,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 10:05,ikg_buleleng,"Tempat sampah sudah mulai banyak, ini sangat memudahkan masyarakat."
10/11/2021 10:03,sitisorayani,Terlalu banyak sampah plastik yang tidak dikelola dengan baik.
10/11/2021 10:03,ronald_ntot,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 10:03,Laju_peTang,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 10:02,gummybears404,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 10:02,Sumantr93991284,"Program pengelolaan sampah di Makassar sudah bagus, sangat membantu."
10/11/2021 10:00,Radar_Cirebon,Semoga ada peningkatan fasilitas pengelolaan sampah di lingkungan kami.
10/11/2021 10:00,YayukWa01806028,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 9:58,lukluk_mr,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
10/11/2021 9:58,SUZY2NiX,Saya senang karena sekarang ada bank sampah di sekitar lingkungan saya.
10/11/2021 9:57,AMYsoeroboeyo,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 9:57,wonutam_,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 9:57,YEngran,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 9:57,JAY2NiX,"Proses pengangkutan sampah sering terlambat, bikin bau tidak sedap."
10/11/2021 9:56,kangmutas,Sudah ada peningkatan dalam pengelolaan sampah di kota ini.
10/11/2021 9:56,jetsilvers,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 9:56,Hasan09072,"Sampah plastik masih mendominasi, tidak ada solusi yang efektif."
10/11/2021 9:55,DavidPaulusplus,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 9:55,kanglu2_tea,Kesadaran masyarakat masih rendah soal buang sampah sembarangan.
10/11/2021 9:55,DeRadit13,Kesadaran masyarakat tentang sampah perlu terus disosialisasikan.
10/11/2021 9:55,Syamsud76579252,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 9:54,masahmadddd,Perlu lebih banyak program edukasi tentang daur ulang di masyarakat.
10/11/2021 9:54,megazahirav,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 9:54,nobadi7,"Masalah sampah di sungai masih belum teratasi, perlu tindakan nyata."
10/11/2021 9:54,cccc0123cccc,"Tempat sampah kurang, jadi banyak orang buang sampah sembarangan."
10/11/2021 9:54,gatauni123,Program baru pengelolaan sampah ini cukup efektif.
10/11/2021 9:54,FirmanF39996704,"Tidak ada perubahan dalam pengelolaan sampah, tetap saja bermasalah."
10/11/2021 9:54,brushpennn,Kampanye pengelolaan sampah sangat bagus untuk masyarakat.
10/11/2021 9:53,Fr4nst,Harapannya pengelolaan sampah bisa lebih baik lagi.
10/11/2021 9:53,RajaMandiri70,Pemerintah tidak serius menangani masalah sampah di kota ini.
10/11/2021 9:53,banyumurti,"Bank sampah adalah langkah yang baik, namun perlu edukasi lanjutan."
