Date,Author,Text,label
10/11/2021 10:23,Rezky,sampah di depan kost belum di angkut selama dua pekan ini,netral
10/11/2021 10:23,Fauzi,"proses pengolahan sampah masih terpilihnya belum efisien, dan masyarakat masih tergolong primitif dalam konteks ikut andil dalam pengolahan sampah",negatif
10/11/2021 10:22,Ibel,Sangat banyak,netral
10/11/2021 10:22,Jasmawati,Melakukan daur ulang sampah anorganik,negatif
10/11/2021 10:21,Rian,sangat banyak dan tempat penampungan yang tidak sepadan,netral
10/11/2021 10:21,Dion Raharjo de jon,"Sebagian bersih sebagian Di sudut-sudut nya masih banyak sampah, apa lagi di bagian kolom tol biasa banyak orang kalo malam² sampah plastik ",positif
10/11/2021 10:21,BALQIS PUTRI AMSURI,"Menurut saya kesadaran masyarakat makassar terhadap pengelolaan sampah masih renda, selain sampah yang sulit dikendalikan dan diurai , masyarakat juga masih sering membuang sampah sembarangan sehingga mencemari lingkungan",negatif
10/11/2021 10:21,Inayah Ulfa,"Banyaknya sampah yang ada di kota kita tercinta ini, yang semakin hari semakin bertambah berton-ton sampah yang masuk ke pembuangan akhir. Tanpa kita sadari bisa menjadi wabah penyakit dan bisa saja menjadi gunung sampah. Maka diperlukan adanya inovasi terkait pengelolaan sampah maupun usaha penanggulangan pengurangan plastik demi terciptanya lingkungan yang bersih.",positif
10/11/2021 10:21,Ilam,Sangat banyak berhamburan,netral
10/11/2021 10:20,Wina Permatasari ,"Masalah sampah di Makassar adalah masalah yang serius dan rumit. Sama seperti kota besar lainnya, pengelolaan sampah di Makassar sering mengalami kendala karena kurangnya kesadaran masyarakat dalam membuang sampah dengan benar dan kurangnya fasilitas serta infrastruktur pengelolaan sampah yang memadai.",negatif
10/11/2021 10:20,Wahyuni Zahra,sangat mencemari lingkungan,netral
10/11/2021 10:20,Ika Anjayy,"cukup meresahkan untuk didaerah tertentu dan untuk beberapa objek yang bagus tetapi terdapat sampah yang berceceran juga bertumpuk disuatu sudut, dipinggir jalan ataupun didepan toko yang sangat merusak pemandangan daerah sekitar, belum lagi untuk truck truck pengangkut sampah yang dikemudikan dengan ugal ugalan yang membuat sampah yang diangkut beterbangan dijalan, ini sangat perlu ditindak lanjuti oleh pemerintah setempat karna membuat kota makassar terlihat sangat kumuh",negatif
10/11/2021 10:20,Sahrani,Banyaknya sampah yang dibuang sembarangan merusak pemandangan kota makassar juga mendatangkan bau tidak sedap,positif
10/11/2021 10:19,Ari Wibowo ,Menurut saya pengelolaan sampah di Makassar masih sangat buruk karena sampah-sampah masih berserakan di mana-mana,negatif
10/11/2021 10:18,Alif ,Terserah,netral
10/11/2021 10:18,Zenith,Kesadaran masyarakat mengenai pentingnya memilah sampah dan mendukung upaya daur ulang masih perlu ditingkatkan.,positif
