,text_1,english,polarity,score
0,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
1,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
2,senang bank sampah lingkung,happy environmental waste bank,0.3,positif
3,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
4,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
5,program edukasi daur ulang masyarakat,community recycling education program,0,netral
6,sampah sera pinggir jalan ganggu,roadside rubbish is a nuisance,0,netral
7,program kelola sampah efektif,effective waste management program,0.2,positif
8,program kelola sampah efektif,effective waste management program,0.2,positif
9,program lingkung wilayah,regional environmental program,0,netral
10,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
11,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
12,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
13,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
14,harap kelola sampah,please manage waste,-0.2,negatif
15,sadar masyarakat sampah sosialisasi,aware of the social waste of society,0.027777778,positif
16,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
17,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
18,kerjasama warga bersih lingkung kuat,Collaboration between citizens with a clean environment is strong,0.4,positif
19,regulasi kurang sampah plastik,regulations on reducing plastic waste,-0.2,negatif
20,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
21,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
22,sadar masyarakat rendah buang sampah sembarang,aware that low society people throw rubbish everywhere,0.125,positif
23,moga perintah konsisten kelola sampah kota,Hopefully the order will be consistent in managing city waste,0.025,positif
24,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
25,sampah mudah masyarakat,society's easy trash,0.433333333,positif
26,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
27,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
28,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
29,bank sampah langkah edukasi lanjut,waste bank further educational steps,0.016666667,positif
30,sampah sungai atas tindak nyata,river waste for real action,-0.025,negatif
31,program edukasi kurang sampah plastik manfaat,educational program for less plastic waste benefits,-0.038888889,negatif
32,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
33,tumpu sampah angkut bermingguminggu,dumped trash for weeks,0,netral
34,program kelola sampah efektif,effective waste management program,0.2,positif
35,sampah plastik dominasi solusi efektif,"plastic waste dominates, effective solution",0.2,positif
36,sampah mudah masyarakat,society's easy trash,0.433333333,positif
37,sampah plastik kelola,manage plastic waste,-0.2,negatif
38,sampah orang buang sampah sembarang,people throw rubbish at random,-0.5,negatif
39,perintah serius tangan sampah kota,the serious command of the city's trash hand,-0.333333333,negatif
40,tingkat kelola sampah kota,level of city waste management,-0.2,negatif
41,program kelola sampah makassar bagus bantu,Makassar waste management program is good to help,0.25,positif
42,moga tingkat fasilitas kelola sampah lingkung,hopefully the level of environmental waste management facilities,-0.2,negatif
