Unnamed: 0,text_1,score
0,sampah plastik dominasi solusi efektif,positif
1,moga perintah konsisten kelola sampah kota,positif
2,senang bank sampah lingkung,positif
3,moga tingkat fasilitas kelola sampah lingkung,negatif
4,regulasi sampah plastik,negatif
5,program edukasi daur ulang masyarakat,netral
6,sampah sera pinggir jalan ganggu,netral
7,program kelola sampah efektif,positif
8,program kelola sampah efektif,positif
9,program lingkung wilayah,netral
10,moga tingkat fasilitas kelola sampah lingkung,negatif
11,sampah sungai tindak nyata,negatif
12,regulasi sampah plastik,negatif
13,kerjasama warga bersih lingkung kuat,positif
14,harap kelola sampah,negatif
15,sadar masyarakat sampah sosialisasi,positif
16,sampah plastik dominasi solusi efektif,positif
17,kerjasama warga bersih lingkung kuat,positif
18,kerjasama warga bersih lingkung kuat,positif
19,regulasi sampah plastik,negatif
20,sampah sungai tindak nyata,negatif
21,moga perintah konsisten kelola sampah kota,positif
22,sadar masyarakat rendah buang sampah sembarang,positif
23,moga perintah konsisten kelola sampah kota,positif
24,program kelola sampah makassar bagus bantu,positif
25,sampah mudah masyarakat,positif
26,program kelola sampah makassar bagus bantu,positif
27,program edukasi sampah plastik manfaat,negatif
28,program kelola sampah makassar bagus bantu,positif
29,bank sampah langkah edukasi,positif
30,sampah sungai tindak nyata,negatif
31,program edukasi sampah plastik manfaat,negatif
32,program kelola sampah makassar bagus bantu,positif
33,tumpu sampah angkut bermingguminggu,netral
34,program kelola sampah efektif,positif
35,sampah plastik dominasi solusi efektif,positif
36,sampah mudah masyarakat,positif
37,sampah plastik kelola,negatif
38,sampah orang buang sampah sembarang,negatif
39,perintah serius tangan sampah kota,negatif
40,tingkat kelola sampah kota,negatif
41,program kelola sampah makassar bagus bantu,positif
42,moga tingkat fasilitas kelola sampah lingkung,negatif
43,perintah serius tangan sampah kota,negatif
44,bank sampah langkah edukasi,positif
45,senang bank sampah lingkung,positif
46,sampah plastik dominasi solusi efektif,positif
47,sadar masyarakat rendah buang sampah sembarang,positif
48,sampah sungai tindak nyata,negatif
49,proses angkut sampah lambat bikin bau sedap,positif
50,tingkat kelola sampah kota,negatif
51,sadar masyarakat sampah sosialisasi,positif
52,sampah plastik dominasi solusi efektif,positif
53,sampah sungai tindak nyata,negatif
54,sadar masyarakat rendah buang sampah sembarang,positif
55,sadar masyarakat sampah sosialisasi,positif
56,sampah orang buang sampah sembarang,negatif
57,program edukasi daur ulang masyarakat,netral
58,program kelola sampah efektif,positif
59,sampah sungai tindak nyata,negatif
60,sampah orang buang sampah sembarang,negatif
61,program kelola sampah efektif,positif
62,ubah kelola sampah,negatif
63,kampanye kelola sampah bagus masyarakat,positif
64,harap kelola sampah,negatif
65,perintah serius tangan sampah kota,negatif
66,bank sampah langkah edukasi,positif
67,sadar masyarakat rendah buang sampah sembarang,positif
