Date,Author,Text,label
10/11/2021 10:23,Rezky,"Just try staying in Makassar, Central Java, rubbish sidewalks, if the road is directly brushed by motorbikes, don't be tacky",netral
10/11/2021 10:23,Fauzi,"Just try staying on the trash sidewalks in Central Java, Makassar, people walking around on the street today is a typical Jakartan, you know, Jakarta area.",negatif
10/11/2021 10:22,Ibel,"The city of Makassar, infrastructure, used to pay attention to the condition of the roads in Bangkala, children were forced to go through damaged roads, go to school, feel sorry for the rubbish and trash httpstcojlzssmbh",negatif
10/11/2021 10:22,Jasmawati,Indonesian waste complex encourages Makassar city power hospital to come up with innovation httpstcouhhhnihs,negatif
10/11/2021 10:21,Rian,"I hope let's go one way, please keep hope and support Adam to pay heavy rubbish for Makassar residents Wattunnamisgarbage free",positif
10/11/2021 10:21,Dion Raharjo de jon,"Kuttab Alfatih Makassar officially launches waste bank to support the environment, complete details httpstcoegfbcmaxu httpstcokbgpcktxfn",negatif
10/11/2021 10:21,BALQIS PUTRI AMSURI,"aniesbaswedan see that Gowa's public facilities are quite good, neat, clean, Makassar, Maros, MPP office, for example, apart from that, street rubbish is neat, public facilities are very attentive",positif
10/11/2021 10:21,Inayah Ulfa,"jiromb profonlineid dwarf beo, South Sulawesi people live moving to the South Sulawesi area, you know exactly the accent for speaking in Bugis Makassar, Mandar Toraja Luwuk, you know the difference between the southern vs. northern Bugis accent, meanwhile, you're in the trash can, mute, bye karamba kareba",positif
10/11/2021 10:21,Ilam,"let's protect the ocean environment, plastic waste, take action, save the life of the earth, create change, let's invite people to care httpstcouaaihiuvc",negatif
10/11/2021 10:20,Wina Permatasari ,collaboration between iaeb unismuh uin alauddin uiad holds the international servant title of makassar waste bank httpstcombcysnaov,negatif
10/11/2021 10:20,Wahyuni Zahra,"Wednesday September, social work, South Sulawesi Provincial Social Service actively participates in FDG, children's meta work, plastic waste supply chain, Makassar City, organizes Indonesian children's work response net in collaboration with Indonesian Child Protection Institutions httpstcosditnsdyuf",negatif
10/11/2021 10:20,Ika Anjayy,Ballatta Rong Makassar Child Protection Collaborative Program Exposes Electronic Waste httpstcokfcnmepaqq Nusantara Adadikompas,negatif
10/11/2021 10:20,Sahrani,Ballatta Rong Makassar Child Protection Collaborative Program Exposes Electronic Waste httpstcoitinoxyj nusantara adadikompas,negatif
10/11/2021 10:19,Ari Wibowo ,ballatta rong collaborative program to protect children Makassar exposes electronic waste httpstcoexmjggge nusantara adadikompas,negatif
10/11/2021 10:18,Alif ,Thursday Rachmady Luh Makassar Bid Cultivation DP Makassar City Discussion of Socialization Plan for Management of Plastic Waste Fish Cultivation Area Work System Class Grade Results KLP Makassar City BRPBapmaros PusluhBpsdm GiatluhkanSatminkalmaros Luhlapor httpstcohrmdktaud,negatif
10/11/2021 10:18,Zenith,Makassar authorities set a fine of tens of millions for burning rubbish drivers,positif
10/11/2021 10:17,Anisa Mutmainnah ,"Residents excited about meeting baby girl, plastic bags throwing rubbish on Tanjung Bunga metro road, Tamalate sub-district head, Makassar city httpstcovvovtms",positif
10/11/2021 10:17,Aiman ,Makassar August South Sulawesi waste management level efforts such as pre-monitoring meeting Adipura holds South Sulawesi provincial forest environment service httpstcogwvefvmbp,negatif
10/11/2021 10:16,Novita,"Brandalbaru thinks Jogja's action, Semarang, Makassar, Surabaya, Jakarta, Anies, Kampung Juang Indonesia, will make the country trash",positif
10/11/2021 10:16,Andi Nurwahdy Al Fiqri Aris ,"clean village of the archipelago, pannampu village head, clean of illegal waste, green environment education center, fast infrastructure, nusantaranfrastructure tollroad, toll road, toll road, toll road, toll road, tolmakassar, Makassar, South Sulawesi",negatif
10/11/2021 10:16,Nurhalizah,Makassar residents shocked to find body of baby girl wrapped in plastic trash. Police investigate identity of baby's parents via detiksulsel httpstcogpbvlebcy,negatif
10/11/2021 10:15,Astrid Aprilya ,"Residents are excited about meeting a baby girl, plastic bags throwing away rubbish on Tanjung Bunga metro road, Tamalate sub-district head, Makassar city httpstcoayrkxgdv",positif
10/11/2021 10:14,Nur fitrah,"Residents are excited about meeting a baby girl, plastic bags throwing away rubbish on Tanjung Bunga metro road, Tamalate sub-district head, Makassar city httpstcoayrkxgxon",positif
10/11/2021 10:14,nur afisah,"tomahawkriders what data is the source bbc facts about the role of Arabs in the struggle for independence in my stupid uncle's country, the name of the street in Makassar, I am a member of the LVRI, it's sad that the rubbish people live a minimal life, reach me",negatif
